"iter","m","uniform_cluster_size","seed"
278,30,100,927399
279,30,100,688294
280,30,100,472175
281,30,100,807529
282,30,100,414781
283,30,100,160210
284,30,100,660986
285,30,100,170400
286,30,100,389960
287,30,100,141132
288,30,100,57216
289,30,100,541402
290,30,100,893455
291,30,100,803530
292,30,100,53749
293,30,100,867011
294,30,100,702559
295,30,100,363222
296,30,100,962478
297,30,100,797299
298,30,100,103753
299,30,100,669387
300,30,100,911081
301,30,100,501473
302,30,100,205475
303,30,100,779461
304,30,100,7452
305,30,100,756919
306,30,100,134563
307,30,100,891528
308,30,100,497251
309,30,100,655077
310,30,100,803310
311,30,100,793771
312,30,100,511817
313,30,100,490978
314,30,100,541975
315,30,100,513842
316,30,100,594484
317,30,100,729214
318,30,100,281140
319,30,100,7957
320,30,100,986021
321,30,100,471274
322,30,100,78806
323,30,100,166354
324,30,100,820617
325,30,100,679053
326,30,100,897441
327,30,100,156763
328,30,100,992978
329,30,100,199915
330,30,100,269728
331,30,100,946342
332,30,100,113338
333,30,100,370286
334,30,100,711985
335,30,100,482455
336,30,100,195841
337,30,100,994620
338,30,100,661346
339,30,100,115869
340,30,100,151611
341,30,100,26265
342,30,100,645184
343,30,100,332401
344,30,100,889730
345,30,100,914693
346,30,100,528363
347,30,100,943333
348,30,100,208359
349,30,100,565020
350,30,100,82816
351,30,100,97010
352,30,100,241796
353,30,100,268206
354,30,100,336907
355,30,100,675479
356,30,100,696381
357,30,100,67716
358,30,100,730309
359,30,100,10825
360,30,100,955979
361,30,100,615223
362,30,100,836910
363,30,100,358744
364,30,100,800311
365,30,100,681647
366,30,100,971411
367,30,100,835292
368,30,100,57327
369,30,100,465369
370,30,100,793243
371,30,100,433869
372,30,100,382458
373,30,100,453254
374,30,100,217526
375,30,100,973488
376,30,100,897394
377,30,100,536594
378,30,100,381764
379,30,100,324272
380,30,100,835998
381,30,100,982340
382,30,100,114334
383,30,100,548161
384,30,100,258475
385,30,100,551441
386,30,100,622493
387,30,100,330590
388,30,100,172915
389,30,100,883254
390,30,100,807769
391,30,100,700863
392,30,100,525569
393,30,100,393465
394,30,100,581761
395,30,100,928105
396,30,100,842830
397,30,100,981924
398,30,100,685521
399,30,100,621563
400,30,100,141243
401,30,100,192833
402,30,100,33516
403,30,100,303712
404,30,100,581957
405,30,100,260483
406,30,100,39831
407,30,100,170986
408,30,100,788463
409,30,100,123187
410,30,100,140959
411,30,100,161876
412,30,100,815881
413,30,100,494657
414,30,100,924897
415,30,100,44782
416,30,100,729173
417,30,100,812057
418,30,100,865757
419,30,100,647427
420,30,100,338606
421,30,100,538365
422,30,100,936288
423,30,100,210784
424,30,100,131030
425,30,100,711982
426,30,100,146132
427,30,100,613092
428,30,100,577743
429,30,100,361008
430,30,100,77131
431,30,100,897219
432,30,100,778458
433,30,100,78271
434,30,100,358665
435,30,100,84945
436,30,100,340165
437,30,100,836504
438,30,100,308111
439,30,100,315623
440,30,100,316385
441,30,100,630145
442,30,100,15031
443,30,100,648953
444,30,100,209597
445,30,100,906959
446,30,100,913044
447,30,100,910775
448,30,100,364842
449,30,100,373451
450,30,100,246744
451,30,100,570665
452,30,100,962978
453,30,100,149901
454,30,100,657513
455,30,100,139081
456,30,100,58323
457,30,100,488528
458,30,100,374432
459,30,100,935217
460,30,100,457978
461,30,100,33912
462,30,100,180550
463,30,100,705505
464,30,100,161621
465,30,100,37401
466,30,100,995906
467,30,100,472797
468,30,100,326305
469,30,100,350970
470,30,100,279994
471,30,100,975720
472,30,100,784226
473,30,100,965078
474,30,100,347535
475,30,100,576289
476,30,100,1196
477,30,100,296515
478,30,100,130053
479,30,100,753780
480,30,100,802620
481,30,100,779314
482,30,100,38774
483,30,100,901220
484,30,100,395162
485,30,100,582467
486,30,100,760103
487,30,100,729980
488,30,100,175827
489,30,100,612583
490,30,100,382576
491,30,100,307701
492,30,100,67417
493,30,100,245044
494,30,100,157422
495,30,100,761083
496,30,100,426769
497,30,100,904113
498,30,100,846882
499,30,100,113441
500,30,100,602886
501,30,100,335069
502,30,100,580920
503,30,100,711540
504,30,100,65552
505,30,100,235417
506,30,100,227899
507,30,100,498460
508,30,100,980893
509,30,100,919681
510,30,100,586587
511,30,100,594171
512,30,100,257497
513,30,100,358878
514,30,100,452502
515,30,100,862976
516,30,100,813433
517,30,100,181576
518,30,100,558385
519,30,100,472243
520,30,100,589858
521,30,100,975047
522,30,100,129960
523,30,100,281580
524,30,100,415300
525,30,100,724488
526,30,100,711241
527,30,100,720083
528,30,100,683513
529,30,100,827472
530,30,100,236857
531,30,100,821939
532,30,100,868649
533,30,100,536755
534,30,100,591549
535,30,100,88900
536,30,100,532920
537,30,100,491718
538,30,100,148703
539,30,100,591107
540,30,100,379023
541,30,100,533274
542,30,100,772556
543,30,100,957446
544,30,100,676015
545,30,100,683822
546,30,100,48097
547,30,100,438998
548,30,100,503181
549,30,100,757762
550,30,100,499960
551,30,100,530695
552,30,100,855331
553,30,100,194623
554,30,100,653076
555,30,100,999709
556,30,100,128884
557,30,100,453340
558,30,100,27146
559,30,100,515899
560,30,100,270384
561,30,100,81215
562,30,100,954906
563,30,100,357989
564,30,100,307609
565,30,100,878310
566,30,100,392806
567,30,100,963323
568,30,100,222128
569,30,100,713796
570,30,100,344010
571,30,100,122999
572,30,100,317397
573,30,100,691544
574,30,100,473827
575,30,100,37133
576,30,100,825095
577,30,100,646762
578,30,100,398000
579,30,100,581897
580,30,100,477964
581,30,100,119635
582,30,100,570300
583,30,100,219333
584,30,100,888010
585,30,100,189270
586,30,100,483673
587,30,100,199548
588,30,100,861529
589,30,100,848325
590,30,100,474180
591,30,100,34946
592,30,100,14647
593,30,100,438957
594,30,100,286604
595,30,100,379566
596,30,100,100116
597,30,100,768827
598,30,100,225840
599,30,100,784413
600,30,100,328545
601,30,100,229004
602,30,100,495107
603,30,100,581340
604,30,100,785861
605,30,100,434662
606,30,100,843735
607,30,100,682021
608,30,100,590183
609,30,100,229130
610,30,100,211500
611,30,100,950210
612,30,100,892690
613,30,100,57514
614,30,100,922396
615,30,100,245354
616,30,100,682111
617,30,100,92006
618,30,100,124422
619,30,100,840285
620,30,100,199686
621,30,100,625890
622,30,100,162009
623,30,100,541733
624,30,100,923534
625,30,100,178419
626,30,100,212931
627,30,100,597937
628,30,100,137185
629,30,100,402721
630,30,100,945201
631,30,100,874221
632,30,100,711855
633,30,100,290575
634,30,100,390770
635,30,100,394018
636,30,100,480332
637,30,100,42814
638,30,100,441666
639,30,100,57943
640,30,100,429769
641,30,100,700306
642,30,100,170452
643,30,100,170013
644,30,100,671269
645,30,100,443194
646,30,100,878431
647,30,100,114994
648,30,100,194906
649,30,100,426240
650,30,100,426862
651,30,100,510677
652,30,100,805336
653,30,100,210915
654,30,100,339375
655,30,100,773021
656,30,100,849677
657,30,100,452768
658,30,100,174659
659,30,100,935047
660,30,100,700165
661,30,100,405354
662,30,100,131124
663,30,100,420185
664,30,100,159515
665,30,100,977278
666,30,100,623841
667,30,100,161150
668,30,100,203176
669,30,100,372553
670,30,100,503
671,30,100,316471
672,30,100,161058
673,30,100,660620
674,30,100,540753
675,30,100,424456
676,30,100,850590
677,30,100,10216
678,30,100,717363
679,30,100,835043
680,30,100,645750
681,30,100,904214
682,30,100,477664
683,30,100,824461
684,30,100,747762
685,30,100,576535
686,30,100,333336
687,30,100,81884
688,30,100,145316
689,30,100,32330
690,30,100,159142
691,30,100,693026
692,30,100,482887
693,30,100,797803
694,30,100,460704
695,30,100,300701
696,30,100,397235
697,30,100,741733
698,30,100,736869
699,30,100,432290
700,30,100,699454
701,30,100,884123
702,30,100,22734
703,30,100,307605
704,30,100,44011
705,30,100,78491
706,30,100,140826
707,30,100,451155
708,30,100,140143
709,30,100,93834
710,30,100,762555
711,30,100,244059
712,30,100,910978
713,30,100,952250
714,30,100,731244
715,30,100,214481
716,30,100,163713
717,30,100,309127
718,30,100,165544
719,30,100,782554
720,30,100,480154
721,30,100,952225
722,30,100,313929
723,30,100,984560
724,30,100,961901
725,30,100,78781
726,30,100,414051
727,30,100,464361
728,30,100,341299
729,30,100,212780
730,30,100,820103
731,30,100,18380
732,30,100,129311
733,30,100,805948
734,30,100,460408
735,30,100,628936
736,30,100,587885
737,30,100,39976
738,30,100,428491
739,30,100,893187
740,30,100,187387
741,30,100,547527
742,30,100,797434
743,30,100,762257
744,30,100,888511
745,30,100,91271
746,30,100,773637
747,30,100,631848
748,30,100,564509
749,30,100,934617
750,30,100,611426
751,30,100,458966
752,30,100,173961
753,30,100,77313
754,30,100,807488
755,30,100,702804
756,30,100,111332
757,30,100,32947
758,30,100,533512
759,30,100,745062
760,30,100,996575
761,30,100,827903
762,30,100,605023
763,30,100,12152
764,30,100,549908
765,30,100,101238
766,30,100,643138
767,30,100,440953
768,30,100,808355
769,30,100,966098
770,30,100,426349
771,30,100,145928
772,30,100,193001
773,30,100,330570
774,30,100,369527
775,30,100,781879
776,30,100,318901
777,30,100,982625
778,30,100,836191
779,30,100,21744
780,30,100,322511
781,30,100,109420
782,30,100,495017
783,30,100,418240
784,30,100,2156
785,30,100,640253
786,30,100,33579
787,30,100,792138
788,30,100,122964
789,30,100,153827
790,30,100,371760
791,30,100,180159
792,30,100,189679
793,30,100,610036
794,30,100,874510
795,30,100,138652
796,30,100,600724
797,30,100,253508
798,30,100,578663
799,30,100,208178
800,30,100,433494
801,30,100,855112
802,30,100,20425
803,30,100,650737
804,30,100,186962
805,30,100,631872
806,30,100,242066
807,30,100,609538
808,30,100,156976
809,30,100,680220
810,30,100,370983
811,30,100,780613
812,30,100,844709
813,30,100,109249
814,30,100,699635
815,30,100,163790
816,30,100,965756
817,30,100,813185
818,30,100,860076
819,30,100,27837
820,30,100,679148
821,30,100,186400
822,30,100,45035
823,30,100,390301
824,30,100,94216
825,30,100,533734
826,30,100,667163
827,30,100,887322
828,30,100,250484
829,30,100,128777
830,30,100,274326
831,30,100,119550
832,30,100,641549
833,30,100,973459
834,30,100,950514
835,30,100,801539
836,30,100,277553
837,30,100,721711
838,30,100,390185
839,30,100,486520
840,30,100,315806
841,30,100,628515
842,30,100,584969
843,30,100,137056
844,30,100,502517
845,30,100,114091
846,30,100,863615
847,30,100,679980
848,30,100,86207
849,30,100,460608
850,30,100,3379
851,30,100,429817
852,30,100,972647
853,30,100,338848
854,30,100,506948
855,30,100,514745
856,30,100,919975
857,30,100,660937
858,30,100,244501
859,30,100,551474
860,30,100,98439
861,30,100,530558
862,30,100,933159
863,30,100,281803
864,30,100,196132
865,30,100,29195
866,30,100,612384
867,30,100,915174
868,30,100,776620
869,30,100,84784
870,30,100,492830
871,30,100,227604
872,30,100,396542
873,30,100,552422
874,30,100,990170
875,30,100,997526
876,30,100,957450
877,30,100,732205
878,30,100,874421
879,30,100,434090
880,30,100,526730
881,30,100,516580
882,30,100,474495
883,30,100,812877
884,30,100,949317
885,30,100,977665
886,30,100,440154
887,30,100,556609
888,30,100,585715
889,30,100,962465
890,30,100,707012
891,30,100,201432
892,30,100,9553
893,30,100,27393
894,30,100,50120
895,30,100,757349
896,30,100,355129
897,30,100,95330
898,30,100,59169
899,30,100,962059
900,30,100,277510
901,30,100,840083
902,30,100,392607
903,30,100,471343
904,30,100,684226
905,30,100,676607
906,30,100,988449
907,30,100,232328
908,30,100,542993
909,30,100,749742
910,30,100,927127
911,30,100,919258
912,30,100,758486
913,30,100,442064
914,30,100,672007
915,30,100,714687
916,30,100,363213
917,30,100,719941
918,30,100,58578
919,30,100,278211
920,30,100,144184
921,30,100,577516
922,30,100,50764
923,30,100,40019
924,30,100,670744
925,30,100,857283
926,30,100,709262
927,30,100,346762
928,30,100,335936
929,30,100,434615
930,30,100,691011
931,30,100,929435
932,30,100,467728
933,30,100,662628
934,30,100,221482
935,30,100,622013
936,30,100,267444
937,30,100,907108
938,30,100,237095
939,30,100,592175
940,30,100,35746
941,30,100,615826
942,30,100,824507
943,30,100,788921
944,30,100,822989
945,30,100,579457
946,30,100,85424
947,30,100,714869
948,30,100,797398
949,30,100,599089
950,30,100,652972
951,30,100,473372
952,30,100,722229
953,30,100,122640
954,30,100,870308
955,30,100,379693
956,30,100,260762
957,30,100,466907
958,30,100,209335
959,30,100,912279
960,30,100,742129
961,30,100,554055
962,30,100,23320
963,30,100,861951
964,30,100,414771
965,30,100,189466
966,30,100,38828
967,30,100,389
968,30,100,713995
969,30,100,569634
970,30,100,791091
971,30,100,88334
972,30,100,224325
973,30,100,541152
974,30,100,190998
975,30,100,731943
976,30,100,381944
977,30,100,693394
978,30,100,677556
979,30,100,739212
980,30,100,957538
981,30,100,862738
982,30,100,952218
983,30,100,979535
984,30,100,410015
985,30,100,744148
986,30,100,613033
987,30,100,187689
988,30,100,307341
989,30,100,724632
990,30,100,33072
991,30,100,195532
992,30,100,24865
993,30,100,517871
994,30,100,716203
995,30,100,73771
996,30,100,222582
997,30,100,102679
998,30,100,520840
999,30,100,415833
1000,30,100,36377
1,50,60,947670
2,50,60,485161
3,50,60,652456
4,50,60,952734
5,50,60,637370
6,50,60,397414
7,50,60,301900
8,50,60,482045
9,50,60,296419
10,50,60,459244
11,50,60,965839
12,50,60,764648
13,50,60,752186
14,50,60,866702
15,50,60,58239
16,50,60,824057
17,50,60,984185
18,50,60,754810
19,50,60,689872
20,50,60,580551
21,50,60,438131
22,50,60,5955
23,50,60,913895
24,50,60,748426
25,50,60,343479
26,50,60,729984
27,50,60,361894
28,50,60,811037
29,50,60,828686
30,50,60,900652
31,50,60,251049
32,50,60,981041
33,50,60,347035
34,50,60,987446
35,50,60,610779
36,50,60,275192
37,50,60,700748
38,50,60,577126
39,50,60,844487
40,50,60,982145
41,50,60,247459
42,50,60,108448
43,50,60,784205
44,50,60,91792
45,50,60,204960
46,50,60,982602
47,50,60,845382
48,50,60,982214
49,50,60,226740
50,50,60,559724
51,50,60,364197
52,50,60,758460
53,50,60,334849
54,50,60,602268
55,50,60,616074
56,50,60,35808
57,50,60,738596
58,50,60,242109
59,50,60,10342
60,50,60,159146
61,50,60,150851
62,50,60,670218
63,50,60,252462
64,50,60,485563
65,50,60,739133
66,50,60,328682
67,50,60,116903
68,50,60,550514
69,50,60,368635
70,50,60,406444
71,50,60,214865
72,50,60,293850
73,50,60,816151
74,50,60,385038
75,50,60,9810
76,50,60,491527
77,50,60,40644
78,50,60,408706
79,50,60,984955
80,50,60,907103
81,50,60,237915
82,50,60,334291
83,50,60,313446
84,50,60,153348
85,50,60,770297
86,50,60,518757
87,50,60,553891
88,50,60,406396
89,50,60,544390
90,50,60,350342
91,50,60,371922
92,50,60,515067
93,50,60,423448
94,50,60,163169
95,50,60,450974
96,50,60,458688
97,50,60,142955
98,50,60,919552
99,50,60,927686
100,50,60,781827
101,50,60,722041
102,50,60,978576
103,50,60,524922
104,50,60,225160
105,50,60,470597
106,50,60,815302
107,50,60,290669
108,50,60,498155
109,50,60,420792
110,50,60,773470
111,50,60,839755
112,50,60,188951
113,50,60,679842
114,50,60,135228
115,50,60,932507
116,50,60,117259
117,50,60,3780
118,50,60,305360
119,50,60,883578
120,50,60,567822
121,50,60,129536
122,50,60,540708
123,50,60,121252
124,50,60,829206
125,50,60,377024
126,50,60,348859
127,50,60,806477
128,50,60,303037
129,50,60,890624
130,50,60,137670
131,50,60,790941
132,50,60,236005
133,50,60,43146
134,50,60,370481
135,50,60,292098
136,50,60,711243
137,50,60,831644
138,50,60,73066
139,50,60,804563
140,50,60,777091
141,50,60,102988
142,50,60,148556
143,50,60,326548
144,50,60,143587
145,50,60,304958
146,50,60,660139
147,50,60,319858
148,50,60,650129
149,50,60,804683
150,50,60,131001
151,50,60,249279
152,50,60,831640
153,50,60,918155
154,50,60,683243
155,50,60,131333
156,50,60,226939
157,50,60,682973
158,50,60,577468
159,50,60,546593
160,50,60,129630
161,50,60,934872
162,50,60,252500
163,50,60,876630
164,50,60,106831
165,50,60,626157
166,50,60,564777
167,50,60,330989
168,50,60,267182
169,50,60,253424
170,50,60,482663
171,50,60,56383
172,50,60,991246
173,50,60,391609
174,50,60,931366
175,50,60,884910
176,50,60,400593
177,50,60,614001
178,50,60,124434
179,50,60,576073
180,50,60,879391
181,50,60,480081
182,50,60,479345
183,50,60,386997
184,50,60,621255
185,50,60,854581
186,50,60,959558
187,50,60,741361
188,50,60,243254
189,50,60,724924
190,50,60,698557
191,50,60,530840
192,50,60,15380
193,50,60,417316
194,50,60,292627
195,50,60,832579
196,50,60,145323
197,50,60,405780
198,50,60,122016
199,50,60,766926
200,50,60,657183
201,50,60,633288
202,50,60,26580
203,50,60,208983
204,50,60,777370
205,50,60,91022
206,50,60,416702
207,50,60,938429
208,50,60,890160
209,50,60,967991
210,50,60,643842
211,50,60,2407
212,50,60,766631
213,50,60,908511
214,50,60,462999
215,50,60,160342
216,50,60,779590
217,50,60,441899
218,50,60,533376
219,50,60,505296
220,50,60,304791
221,50,60,73455
222,50,60,847452
223,50,60,822597
224,50,60,510410
225,50,60,514050
226,50,60,43918
227,50,60,727003
228,50,60,634324
229,50,60,675085
230,50,60,251313
231,50,60,56830
232,50,60,469045
233,50,60,513023
234,50,60,934130
235,50,60,587763
236,50,60,559797
237,50,60,921966
238,50,60,603561
239,50,60,20344
240,50,60,762073
241,50,60,638214
242,50,60,125794
243,50,60,350435
244,50,60,685000
245,50,60,154724
246,50,60,855939
247,50,60,539535
248,50,60,853404
249,50,60,80575
250,50,60,167833
251,50,60,562144
252,50,60,851329
253,50,60,925420
254,50,60,907734
255,50,60,878549
256,50,60,966747
257,50,60,580383
258,50,60,17599
259,50,60,93553
260,50,60,598003
261,50,60,727340
262,50,60,705240
263,50,60,968998
264,50,60,123892
265,50,60,541731
266,50,60,419648
267,50,60,662702
268,50,60,177351
269,50,60,413304
270,50,60,538258
271,50,60,129094
272,50,60,184567
273,50,60,378649
274,50,60,177120
275,50,60,697652
276,50,60,350094
277,50,60,58874
278,50,60,263236
279,50,60,568275
280,50,60,264515
281,50,60,867902
282,50,60,441728
283,50,60,279720
284,50,60,78467
285,50,60,900283
286,50,60,176257
287,50,60,837648
288,50,60,656806
289,50,60,640503
290,50,60,121103
291,50,60,846000
292,50,60,63665
293,50,60,30752
294,50,60,204550
295,50,60,556728
296,50,60,462615
297,50,60,646767
298,50,60,868147
299,50,60,998179
300,50,60,618142
301,50,60,820227
302,50,60,892482
303,50,60,848673
304,50,60,397302
305,50,60,722655
306,50,60,394375
307,50,60,363825
308,50,60,523974
309,50,60,217018
310,50,60,91114
311,50,60,439499
312,50,60,681657
313,50,60,415562
314,50,60,115162
315,50,60,874850
316,50,60,560184
317,50,60,748177
318,50,60,445317
319,50,60,482123
320,50,60,740716
321,50,60,916626
322,50,60,108869
323,50,60,446455
324,50,60,4571
325,50,60,576312
326,50,60,260326
327,50,60,675860
328,50,60,194712
329,50,60,241042
330,50,60,235873
331,50,60,925744
332,50,60,32622
333,50,60,868095
334,50,60,13712
335,50,60,757255
336,50,60,842633
337,50,60,126700
338,50,60,909999
339,50,60,252197
340,50,60,136298
341,50,60,765983
342,50,60,893442
343,50,60,683854
344,50,60,692700
345,50,60,176814
346,50,60,377808
347,50,60,250235
348,50,60,45391
349,50,60,247644
350,50,60,820324
351,50,60,619707
352,50,60,645027
353,50,60,654616
354,50,60,602290
355,50,60,191633
356,50,60,674990
357,50,60,972095
358,50,60,794877
359,50,60,765449
360,50,60,675668
361,50,60,971395
362,50,60,273549
363,50,60,226
364,50,60,473963
365,50,60,965461
366,50,60,622727
367,50,60,208623
368,50,60,871401
369,50,60,690675
370,50,60,528379
371,50,60,866113
372,50,60,116351
373,50,60,873205
374,50,60,179643
375,50,60,420220
376,50,60,118942
377,50,60,292168
378,50,60,980529
379,50,60,781981
380,50,60,599191
381,50,60,534102
382,50,60,582124
383,50,60,167259
384,50,60,78688
385,50,60,424511
386,50,60,991812
387,50,60,572938
388,50,60,233047
389,50,60,215736
390,50,60,59655
391,50,60,189765
392,50,60,359055
393,50,60,512342
394,50,60,20652
395,50,60,665580
396,50,60,193550
397,50,60,9752
398,50,60,912960
399,50,60,17716
400,50,60,282833
401,50,60,451543
402,50,60,234344
403,50,60,441171
404,50,60,318986
405,50,60,827712
406,50,60,134125
407,50,60,467479
408,50,60,635703
409,50,60,752153
410,50,60,509793
411,50,60,225789
412,50,60,261172
413,50,60,965315
414,50,60,504017
415,50,60,859623
416,50,60,657615
417,50,60,873695
418,50,60,825528
419,50,60,719902
420,50,60,977108
421,50,60,893612
422,50,60,725996
423,50,60,585838
424,50,60,176486
425,50,60,838807
426,50,60,569627
427,50,60,681271
428,50,60,814348
429,50,60,847777
430,50,60,676529
431,50,60,292865
432,50,60,149471
433,50,60,123330
434,50,60,554526
435,50,60,376221
436,50,60,202776
437,50,60,862486
438,50,60,702854
439,50,60,152150
440,50,60,52076
441,50,60,128369
442,50,60,392629
443,50,60,655234
444,50,60,228699
445,50,60,482730
446,50,60,422062
447,50,60,349764
448,50,60,128461
449,50,60,934585
450,50,60,30125
451,50,60,920930
452,50,60,620521
453,50,60,830237
454,50,60,483206
455,50,60,362719
456,50,60,333492
457,50,60,903772
458,50,60,909430
459,50,60,464727
460,50,60,430482
461,50,60,266132
462,50,60,153960
463,50,60,967515
464,50,60,483435
465,50,60,797585
466,50,60,344849
467,50,60,955992
468,50,60,981361
469,50,60,621019
470,50,60,436540
471,50,60,506639
472,50,60,47086
473,50,60,260452
474,50,60,981289
475,50,60,452925
476,50,60,912732
477,50,60,72825
478,50,60,572463
479,50,60,594758
480,50,60,779502
481,50,60,601147
482,50,60,612670
483,50,60,967563
484,50,60,707807
485,50,60,85684
486,50,60,179478
487,50,60,681796
488,50,60,765757
489,50,60,919190
490,50,60,102557
491,50,60,222631
492,50,60,460396
493,50,60,946856
494,50,60,876150
495,50,60,526278
496,50,60,918763
497,50,60,898570
498,50,60,201984
499,50,60,152797
500,50,60,241372
501,50,60,916684
502,50,60,573289
503,50,60,637124
504,50,60,673723
505,50,60,76303
506,50,60,651288
507,50,60,273109
508,50,60,21108
509,50,60,745311
510,50,60,666338
511,50,60,155605
512,50,60,729055
513,50,60,531290
514,50,60,903859
515,50,60,637165
516,50,60,319493
517,50,60,37192
518,50,60,734738
519,50,60,705201
520,50,60,21024
521,50,60,954741
522,50,60,947185
523,50,60,516621
524,50,60,835700
525,50,60,682672
526,50,60,378961
527,50,60,122093
528,50,60,349307
529,50,60,158048
530,50,60,49070
531,50,60,283522
532,50,60,115708
533,50,60,637827
534,50,60,387377
535,50,60,671717
536,50,60,524941
537,50,60,356570
538,50,60,629404
539,50,60,171165
540,50,60,703782
541,50,60,134247
542,50,60,389654
543,50,60,614531
544,50,60,483761
545,50,60,349543
546,50,60,51223
547,50,60,436388
548,50,60,85081
549,50,60,916622
550,50,60,159627
551,50,60,742398
