"","variable","type","n","mean","variance","target_3_moment","target_4_moment","std_mean","std_var","std_target_3_moment","std_target_4_moment","clinic_name"
"113","gendermale","bin",215,0.465116279069767,0.24994566398609,0.0173569622800508,0.0631039946460762,0.46511628,0.24994566,0.01735696,0.06310399,"care ntwk"
"114","demo_groupother adult","bin",215,0,0,0,0,0,0,0,0,"care ntwk"
"115","demo_grouppatient","bin",215,1,0,0,0,1,0,0,0,"care ntwk"
"116","payor_groupcommercial","bin",215,0.227906976744186,0.17678765485764,0.09575790810872,0.0830739347508088,0.22790698,0.17678765,0.09575791,0.08307393,"care ntwk"
"117","payor_groupgovernment","bin",215,0.758139534883721,0.18422082156053,-0.0946669852968921,0.0824969324625797,0.75813953,0.18422082,-0.09466699,0.08249693,"care ntwk"
"118","payor_groupmedical assistance","bin",215,0,0,0,0,0,0,0,0,"care ntwk"
"119","payor_groupother","bin",215,0,0,0,0,0,0,0,0,"care ntwk"
"120","payor_groupself pay","bin",215,0.013953488372093,0.013823081938709,0.0133748223426868,0.0131908757485446,0.01395349,0.01382308,0.01337482,0.01319088,"care ntwk"
"121","patient_classemergency","bin",215,0,0,0,0,0,0,0,0,"care ntwk"
"122","patient_classoutpatient","bin",215,1,0,0,0,1,0,0,0,"care ntwk"
"123","drive_thru_ind","num",215,0.027906976744186,0.0272549445772658,0.0256140465619379,0.0249203633671571,0,1,5.69259657960588,33.5477850162826,"care ntwk"
"124","std_pan_day","num",215,0.0253781168478856,1.00356026543189,-0.153010998085651,1.78705938475909,0,1,-0.152197480797793,1.77440180946959,"care ntwk"
"125","std_age","num",215,0.0489353646025176,0.510420486989973,0.283715995699381,0.935310377681024,0,1,0.778021642556238,3.59004227920982,"care ntwk"
"126","std_drive_thru_ind","num",215,-0.228671511367519,0.317125244210377,1.01661487934668,3.37384707351855,0,1,5.69259517044336,33.5477784407226,"care ntwk"
"127","resultnegative","bin",93,0.870967741935484,0.113604488078541,-0.0833808868450203,0.074493162581035,0.87096774,0.11360449,-0.08338089,0.07449316,"cc care ntwk"
"128","resultpositive","bin",93,0.129032258064516,0.113604488078541,0.0833808868450203,0.074493162581035,0.12903226,0.11360449,0.08338089,0.07449316,"cc care ntwk"
"129","pan_day","num",93,60.7849462365591,674.366292660122,-2002.96959683324,824078.283454622,0,1,-0.114374883004755,1.81207750562066,"cc care ntwk"
"130","age","num",93,8.05161290322581,46.9920897615708,178.318809841899,5435.66975714525,0,1,0.55355400185234,2.4615211140421,"cc care ntwk"
"131","gendermale","bin",93,0.548387096774194,0.250350631136045,-0.0239669698902353,0.0636542103536357,0.5483871,0.25035063,-0.02396697,0.06365421,"cc care ntwk"
"132","demo_groupother adult","bin",93,0,0,0,0,0,0,0,0,"cc care ntwk"
"133","demo_grouppatient","bin",93,1,0,0,0,1,0,0,0,"cc care ntwk"
"134","payor_groupcommercial","bin",93,0.344086021505376,0.228143992519869,0.0703767108385953,0.0728817772978111,0.34408602,0.22814399,0.07037671,0.07288178,"cc care ntwk"
"135","payor_groupgovernment","bin",93,0.634408602150538,0.234455352968677,-0.0623479375451447,0.0705537306156025,0.6344086,0.23445535,-0.06234794,0.07055373,"cc care ntwk"
"136","payor_groupmedical assistance","bin",93,0,0,0,0,0,0,0,0,"cc care ntwk"
"137","payor_groupother","bin",93,0,0,0,0,0,0,0,0,"cc care ntwk"
"138","payor_groupself pay","bin",93,0.021505376344086,0.0212716222533894,0.0201378243740031,0.0197144848257276,0.02150538,0.02127162,0.02013782,0.01971448,"cc care ntwk"
"139","patient_classemergency","bin",93,0,0,0,0,0,0,0,0,"cc care ntwk"
"140","patient_classoutpatient","bin",93,1,0,0,0,1,0,0,0,"cc care ntwk"
"141","drive_thru_ind","num",93,0.010752688172043,0.010752688172043,0.0104083137213949,0.0102976262305612,0,1,9.33478953827857,89.0641715881791,"cc care ntwk"
"142","std_pan_day","num",93,-0.100723255857584,0.916976519183195,-0.100431025619279,1.52367797705491,0,1,-0.114374830653758,1.812077493298,"cc care ntwk"
"143","std_age","num",93,0.0814466118310324,0.538499725802649,0.218745057237061,0.713796672220759,0,1,0.553554134120154,2.46152106132541,"cc care ntwk"
"144","std_drive_thru_ind","num",93,-0.28718627664825,0.125113036014812,0.413103278019403,1.39414564748901,0,1,9.33479530690105,89.0641861142104,"cc care ntwk"
"145","resultnegative","bin",177,0.932203389830508,0.0635593220338983,-0.0546307071316931,0.0512174226714876,0.93220339,0.06355932,-0.05463071,0.05121742,"clinical lab"
"146","resultpositive","bin",177,0.0677966101694915,0.0635593220338983,0.0546307071316931,0.0512174226714876,0.06779661,0.06355932,0.05463071,0.05121742,"clinical lab"
"147","pan_day","num",177,74.2994350282486,526.676874678993,-6836.40824073577,632913.678581231,0,1,-0.565602822104528,2.28168640718146,"clinical lab"
"148","age","num",177,11.6033898305085,161.793056625578,3061.20617991129,128805.130339545,0,1,1.48748488529306,4.9205433981985,"clinical lab"
"149","gendermale","bin",177,0.491525423728814,0.251348228043143,0.00423607087384785,0.0625358937478218,0.49152542,0.2513482,0.004236071,0.06253589,"clinical lab"
"150","demo_groupother adult","bin",177,0.0169491525423729,0.0167565485362096,0.0160970693206219,0.0158290241579829,0.01694915,0.01675655,0.01609707,0.01582902,"clinical lab"
"151","demo_grouppatient","bin",177,0.830508474576271,0.141563944530046,-0.0930474878152099,0.0813205119497554,0.83050847,0.1415639,-0.09304749,0.08132051,"clinical lab"
"152","payor_groupcommercial","bin",177,0.480225988700565,0.251027221366204,0.00987154191717461,0.062695047091402,0.48022599,0.2510272,0.009871542,0.06269505,"clinical lab"
"153","payor_groupgovernment","bin",177,0.355932203389831,0.230546995377504,0.0660534913501381,0.0715853889308077,0.3559322,0.230547,0.06605349,0.07158539,"clinical lab"
"154","payor_groupmedical assistance","bin",177,0,0,0,0,0,0,0,0,"clinical lab"
"155","payor_groupother","bin",177,0,0,0,0,0,0,0,0,"clinical lab"
"156","payor_groupself pay","bin",177,0.163841807909605,0.137776065742167,0.0921057780619859,0.0806925852242238,0.16384181,0.1377761,0.09210578,0.08069259,"clinical lab"
"157","patient_classemergency","bin",177,0.112994350282486,0.100796096558808,0.0775765418693858,0.0700904967551806,0.11299435,0.1007961,0.07757654,0.0700905,"clinical lab"
"158","patient_classoutpatient","bin",177,0.474576271186441,0.250770416024653,0.012678998339655,0.0628219296264261,0.47457627,0.2507704,0.012679,0.06282193,"clinical lab"
"159","drive_thru_ind","num",177,0.994350282485876,0.00564971751412429,-0.00555432026030286,0.00552311923608033,0,1,-13.0794879045716,173.033765389191,"clinical lab"
"160","std_pan_day","num",177,0.397622544381593,0.716154310400613,-0.342784779287064,1.17022454394544,0,1,-0.565602929308304,2.28168750484037,"clinical lab"
"161","std_age","num",177,0.461658809601265,1.85404643785167,3.75520519474554,16.9143228910239,0,1,1.48748602066089,4.92054867851577,"clinical lab"
"162","std_drive_thru_ind","num",177,3.06795037736783,0.0657373579060879,-0.220449533720742,0.747748313168735,0,1,-13.0794875791844,173.033788476645,"clinical lab"
"163","resultnegative","bin",3,1,0,0,0,1,0,0,0,"diag radiology"
"164","resultpositive","bin",3,0,0,0,0,0,0,0,0,"diag radiology"
"165","pan_day","num",3,59,967,6426,623392.666666667,0,1,0.213698271847762,0.666666702313897,"diag radiology"
"166","age","num",3,6.1,61.23,160.022,2499.4086,0,1,0.333989877799823,0.666666773358572,"diag radiology"
"167","gendermale","bin",3,1,0,0,0,1,0,0,0,"diag radiology"
"168","demo_groupother adult","bin",3,0,0,0,0,0,0,0,0,"diag radiology"
"169","demo_grouppatient","bin",3,1,0,0,0,1,0,0,0,"diag radiology"
"170","payor_groupcommercial","bin",3,0.333333333333333,0.333333333333333,0.0740740740740741,0.0740740740740741,0.3333333,0.3333333,0.07407407,0.07407407,"diag radiology"
"171","payor_groupgovernment","bin",3,0.666666666666667,0.333333333333333,-0.074074074074074,0.0740740740740741,0.6666667,0.3333333,-0.07407407,0.07407407,"diag radiology"
"172","payor_groupmedical assistance","bin",3,0,0,0,0,0,0,0,0,"diag radiology"
"173","payor_groupother","bin",3,0,0,0,0,0,0,0,0,"diag radiology"
"174","payor_groupself pay","bin",3,0,0,0,0,0,0,0,0,"diag radiology"
"175","patient_classemergency","bin",3,0,0,0,0,0,0,0,0,"diag radiology"
"176","patient_classoutpatient","bin",3,1,0,0,0,1,0,0,0,"diag radiology"
"177","drive_thru_ind","num",3,0,0,0,0,0,0,0,0,"diag radiology"
"178","std_pan_day","num",3,-0.166543019694228,1.31488821980171,0.322206473652838,1.15262068704888,0,1,0.213698274252398,0.666666867754609,"diag radiology"
"179","std_age","num",3,-0.127470515095608,0.701657201843794,0.196300219703263,0.328215219266176,0,1,0.333989879621172,0.666666631037145,"diag radiology"
"180","std_drive_thru_ind","num",3,-0.323864628063286,0,0,0,0,0,0,0,"diag radiology"
"181","resultnegative","bin",12,1,0,0,0,1,0,0,0,"dialysis"
"182","resultpositive","bin",12,0,0,0,0,0,0,0,0,"dialysis"
"183","pan_day","num",12,53.1666666666667,823.242424242424,13341.8425925926,1426368.33101852,0,1,0.564838269566883,2.10463167034874,"dialysis"
"184","age","num",12,4.66666666666667,25.6969696969697,205.259259259259,2815.62962962963,0,1,1.5757233650499,4.26394661867662,"dialysis"
"185","gendermale","bin",12,0.833333333333333,0.151515151515152,-0.0925925925925926,0.0810185185185185,0.8333333,0.1515152,-0.09259259,0.08101852,"dialysis"
"186","demo_groupother adult","bin",12,0,0,0,0,0,0,0,0,"dialysis"
"187","demo_grouppatient","bin",12,1,0,0,0,1,0,0,0,"dialysis"
"188","payor_groupcommercial","bin",12,0.25,0.204545454545455,0.09375,0.08203125,0.25,0.2045455,0.09375,0.08203125,"dialysis"
"189","payor_groupgovernment","bin",12,0.75,0.204545454545455,-0.09375,0.08203125,0.75,0.2045455,-0.09375,0.08203125,"dialysis"
"190","payor_groupmedical assistance","bin",12,0,0,0,0,0,0,0,0,"dialysis"
"191","payor_groupother","bin",12,0,0,0,0,0,0,0,0,"dialysis"
"192","payor_groupself pay","bin",12,0,0,0,0,0,0,0,0,"dialysis"
"193","patient_classemergency","bin",12,0,0,0,0,0,0,0,0,"dialysis"
"194","patient_classoutpatient","bin",12,1,0,0,0,1,0,0,0,"dialysis"
"195","drive_thru_ind","num",12,0,0,0,0,0,0,0,0,"dialysis"
"196","std_pan_day","num",12,-0.381646765967598,1.11941237402003,0.668974175815514,2.63728101659307,0,1,0.564838380039025,2.10463204762279,"dialysis"
"197","std_age","num",12,-0.280906619885257,0.294471073876213,0.251793114001335,0.369740464308729,0,1,1.57572275526823,4.26394571385469,"dialysis"
"198","std_drive_thru_ind","num",12,-0.323864628063286,0,0,0,0,0,0,0,"dialysis"
"199","resultnegative","bin",2695,0.939146567717996,0.0571715059783784,-0.0501947092057805,0.0473518244133579,0.939146568,0.05717151,-0.05019471,0.04735182,"emergency dept"
"200","resultpositive","bin",2695,0.0608534322820037,0.0571715059783784,0.0501947092057804,0.0473518244133579,0.060853432,0.05717151,0.05019471,0.04735182,"emergency dept"
"201","pan_day","num",2695,63.3402597402597,743.185219680097,-2259.09873044008,952135.193867897,0,1,-0.111503804240597,1.72387001775596,"emergency dept"
"202","age","num",2695,7.75250463821892,64.3435933903831,1958.32341541327,185697.513848599,0,1,3.79425392517305,44.8534114660092,"emergency dept"
"203","gendermale","bin",2695,0.487569573283859,0.249938225948407,0.00621137197066451,0.0625771861290457,0.487569573,0.2499382,0.006211372,0.06257719,"emergency dept"
"204","demo_groupother adult","bin",2695,0.00371057513914657,0.00369817900839218,0.00366937221268381,0.0036558076303707,0.003710575,0.003698179,0.003669372,0.003655808,"emergency dept"
"205","demo_grouppatient","bin",2695,0.994805194805195,0.0051697374637241,-0.00511412756580576,0.00508770012813401,0.994805195,0.005169737,-0.005114128,0.0050877,"emergency dept"
"206","payor_groupcommercial","bin",2695,0.458256029684601,0.248349592924839,0.0207265024905451,0.0633621699926378,0.45825603,0.2483496,0.0207265,0.06336217,"emergency dept"
"207","payor_groupgovernment","bin",2695,0.520222634508349,0.249683692063584,-0.0100947769613492,0.0627039757407844,0.520222635,0.2496837,-0.01009478,0.06270398,"emergency dept"
"208","payor_groupmedical assistance","bin",2695,0,0,0,0,0,0,0,0,"emergency dept"
"209","payor_groupother","bin",2695,0,0,0,0,0,0,0,0,"emergency dept"
"210","payor_groupself pay","bin",2695,0.0189239332096475,0.0185727095049399,0.0178631413633516,0.0175317491717829,0.018923933,0.01857271,0.01786314,0.01753175,"emergency dept"
"211","patient_classemergency","bin",2695,0.494990723562152,0.250067696647398,0.00250438682487509,0.062512544536262,0.494990724,0.2500677,0.002504387,0.06251254,"emergency dept"
"212","patient_classoutpatient","bin",2695,0,0,0,0,0,0,0,0,"emergency dept"
"213","drive_thru_ind","num",2695,0.0575139146567718,0.054226185311136,0.0479708583681397,0.0453911720642152,0,1,3.79895253333643,15.4366548693245,"emergency dept"
"214","std_pan_day","num",2695,-0.00649625456348173,1.010553764724,-0.113273612755789,1.76044855835022,0,1,-0.111503735009947,1.72386954512919,"emergency dept"
"215","std_age","num",2695,0.0494275371149538,0.737337019351152,2.40229041441595,24.385268669157,0,1,3.79425392497394,44.8534148864141,"emergency dept"
"216","std_drive_thru_ind","num",2695,-0.127679679770988,0.630949448847359,1.90395095418274,6.14529053112679,0,1,3.79895342942485,15.4366618088588,"emergency dept"
"217","resultnegative","bin",2,1,0,0,0,1,0,0,0,"fluoro radiology"
"218","resultpositive","bin",2,0,0,0,0,0,0,0,0,"fluoro radiology"
"219","pan_day","num",2,60.5,1404.5,0,493155.0625,0,1,0,0.250000019010248,"fluoro radiology"
"220","age","num",2,11.5,12.5,0,39.0625,0,1,0,0.25,"fluoro radiology"
"221","gendermale","bin",2,0.5,0.5,0,0.0625,0.5,0.5,0,0.0625,"fluoro radiology"
"222","demo_groupother adult","bin",2,0,0,0,0,0,0,0,0,"fluoro radiology"
"223","demo_grouppatient","bin",2,1,0,0,0,1,0,0,0,"fluoro radiology"
"224","payor_groupcommercial","bin",2,0.5,0.5,0,0.0625,0.5,0.5,0,0.0625,"fluoro radiology"
"225","payor_groupgovernment","bin",2,0.5,0.5,0,0.0625,0.5,0.5,0,0.0625,"fluoro radiology"
"226","payor_groupmedical assistance","bin",2,0,0,0,0,0,0,0,0,"fluoro radiology"
"227","payor_groupother","bin",2,0,0,0,0,0,0,0,0,"fluoro radiology"
"228","payor_groupself pay","bin",2,0,0,0,0,0,0,0,0,"fluoro radiology"
"229","patient_classemergency","bin",2,0,0,0,0,0,0,0,0,"fluoro radiology"
"230","patient_classoutpatient","bin",2,1,0,0,0,1,0,0,0,"fluoro radiology"
"231","drive_thru_ind","num",2,1,0,0,0,0,0,0,0,"fluoro radiology"
"232","std_pan_day","num",2,-0.111230627795361,1.90978335544106,0,0.911818116179932,0,1,0,0.249999983897861,"fluoro radiology"
"233","std_age","num",2,0.450591088995626,0.143242120252285,0,0.00512957625359254,0,1,0,0.250000058333173,"fluoro radiology"
"234","std_drive_thru_ind","num",2,3.08722205353505,0,0,0,0,0,0,0,"fluoro radiology"
"235","resultnegative","bin",2,1,0,0,0,1,0,0,0,"gastroenterology"
"236","resultpositive","bin",2,0,0,0,0,0,0,0,0,"gastroenterology"
"237","pan_day","num",2,46,450,0,50625,0,1,0,0.25,"gastroenterology"
"238","age","num",2,12.5,60.5,0,915.0625,0,1,0,0.25,"gastroenterology"
"239","gendermale","bin",2,0.5,0.5,0,0.0625,0.5,0.5,0,0.0625,"gastroenterology"
"240","demo_groupother adult","bin",2,0,0,0,0,0,0,0,0,"gastroenterology"
"241","demo_grouppatient","bin",2,1,0,0,0,1,0,0,0,"gastroenterology"
"242","payor_groupcommercial","bin",2,0,0,0,0,0,0,0,0,"gastroenterology"
"243","payor_groupgovernment","bin",2,1,0,0,0,1,0,0,0,"gastroenterology"
"244","payor_groupmedical assistance","bin",2,0,0,0,0,0,0,0,0,"gastroenterology"
"245","payor_groupother","bin",2,0,0,0,0,0,0,0,0,"gastroenterology"
"246","payor_groupself pay","bin",2,0,0,0,0,0,0,0,0,"gastroenterology"
