"","vars","a2b","ab2","a3b","a2b2","ab3","clinic_name"
"58","age_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"59","age_drive_thru_ind",-0.325684767235173,-0.106752102536725,-0.18490006540841,0.256410256410256,-0.18490006540841,"1 laboratory"
"60","age_std_pan_day",0.289462587466287,0.291496882911023,0.666645034404305,0.666637824118139,0.666645034404305,"1 laboratory"
"61","age_std_age",0.287409506829643,0.287409506829644,0.666666666666667,0.666666666666667,0.666666666666667,"1 laboratory"
"62","age_std_drive_thru_ind",-0.325684767235173,-0.106752102536725,-0.18490006540841,0.256410256410256,-0.18490006540841,"1 laboratory"
"63","gendermale_demo_groupother adult",0,0,0,0,0,"1 laboratory"
"64","gendermale_demo_grouppatient",0,0,0,0,0,"1 laboratory"
"65","gendermale_payor_groupcommercial",-0.037037037037037,0.0370370370370371,0.037037037037037,0.037037037037037,0.037037037037037,"1 laboratory"
"66","gendermale_payor_groupgovernment",0.037037037037037,0.037037037037037,-0.037037037037037,0.037037037037037,-0.037037037037037,"1 laboratory"
"67","gendermale_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"68","gendermale_payor_groupother",0,0,0,0,0,"1 laboratory"
"69","gendermale_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"70","gendermale_patient_classemergency",0,0,0,0,0,"1 laboratory"
"71","gendermale_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"72","gendermale_drive_thru_ind",-0.0641500299099584,0.111111111111111,0.0641500299099584,0.111111111111111,0.192450089729875,"1 laboratory"
"73","gendermale_std_pan_day",-0.0882124408916701,0.0121234845644294,0.0882124408916701,0.144106986626672,0.26463732267501,"1 laboratory"
"74","gendermale_std_age",-0.0889600854472706,0.00854700854700857,0.0889600854472706,0.145299145299145,0.266880256341812,"1 laboratory"
"75","gendermale_std_drive_thru_ind",-0.0641500299099584,0.111111111111111,0.0641500299099584,0.111111111111111,0.192450089729875,"1 laboratory"
"76","demo_groupother adult_demo_grouppatient",0,0,0,0,0,"1 laboratory"
"77","demo_groupother adult_payor_groupcommercial",0,0,0,0,0,"1 laboratory"
"78","demo_groupother adult_payor_groupgovernment",0,0,0,0,0,"1 laboratory"
"79","demo_groupother adult_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"80","demo_groupother adult_payor_groupother",0,0,0,0,0,"1 laboratory"
"81","demo_groupother adult_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"82","demo_groupother adult_patient_classemergency",0,0,0,0,0,"1 laboratory"
"83","demo_groupother adult_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"84","demo_groupother adult_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"85","demo_groupother adult_std_pan_day",0,0,0,0,0,"1 laboratory"
"86","demo_groupother adult_std_age",0,0,0,0,0,"1 laboratory"
"87","demo_groupother adult_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"88","demo_grouppatient_payor_groupcommercial",0,0,0,0,0,"1 laboratory"
"89","demo_grouppatient_payor_groupgovernment",0,0,0,0,0,"1 laboratory"
"90","demo_grouppatient_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"91","demo_grouppatient_payor_groupother",0,0,0,0,0,"1 laboratory"
"92","demo_grouppatient_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"93","demo_grouppatient_patient_classemergency",0,0,0,0,0,"1 laboratory"
"94","demo_grouppatient_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"95","demo_grouppatient_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"96","demo_grouppatient_std_pan_day",0,0,0,0,0,"1 laboratory"
"97","demo_grouppatient_std_age",0,0,0,0,0,"1 laboratory"
"98","demo_grouppatient_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"99","payor_groupcommercial_payor_groupgovernment",-0.0740740740740741,0.0740740740740741,-0.0740740740740741,0.0740740740740741,-0.0740740740740741,"1 laboratory"
"100","payor_groupcommercial_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"101","payor_groupcommercial_payor_groupother",0,0,0,0,0,"1 laboratory"
"102","payor_groupcommercial_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"103","payor_groupcommercial_patient_classemergency",0,0,0,0,0,"1 laboratory"
"104","payor_groupcommercial_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"105","payor_groupcommercial_drive_thru_ind",0.128300059819917,0.222222222222222,0.128300059819917,0.222222222222222,0.384900179459751,"1 laboratory"
"106","payor_groupcommercial_std_pan_day",-0.0365758901258145,-0.18610173728284,-0.0365758901258145,0.0861142357205349,-0.109727670377443,"1 laboratory"
"107","payor_groupcommercial_std_age",-0.0355840341789082,-0.188034188034188,-0.0355840341789082,0.0854700854700855,-0.106752102536725,"1 laboratory"
"108","payor_groupcommercial_std_drive_thru_ind",0.128300059819917,0.222222222222222,0.128300059819917,0.222222222222222,0.384900179459751,"1 laboratory"
"109","payor_groupgovernment_payor_groupmedical assistance",0,0,0,0,0,"1 laboratory"
"110","payor_groupgovernment_payor_groupother",0,0,0,0,0,"1 laboratory"
"111","payor_groupgovernment_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"112","payor_groupgovernment_patient_classemergency",0,0,0,0,0,"1 laboratory"
"113","payor_groupgovernment_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"114","payor_groupgovernment_drive_thru_ind",0.128300059819917,-0.222222222222222,-0.128300059819917,0.222222222222222,-0.384900179459751,"1 laboratory"
"115","payor_groupgovernment_std_pan_day",-0.0365758901258144,0.18610173728284,0.0365758901258144,0.0861142357205349,0.109727670377443,"1 laboratory"
"116","payor_groupgovernment_std_age",-0.0355840341789082,0.188034188034188,0.0355840341789082,0.0854700854700855,0.106752102536725,"1 laboratory"
"117","payor_groupgovernment_std_drive_thru_ind",0.128300059819917,-0.222222222222222,-0.128300059819917,0.222222222222222,-0.38490017945975,"1 laboratory"
"118","payor_groupmedical assistance_payor_groupother",0,0,0,0,0,"1 laboratory"
"119","payor_groupmedical assistance_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"120","payor_groupmedical assistance_patient_classemergency",0,0,0,0,0,"1 laboratory"
"121","payor_groupmedical assistance_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"122","payor_groupmedical assistance_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"123","payor_groupmedical assistance_std_pan_day",0,0,0,0,0,"1 laboratory"
"124","payor_groupmedical assistance_std_age",0,0,0,0,0,"1 laboratory"
"125","payor_groupmedical assistance_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"126","payor_groupother_payor_groupself pay",0,0,0,0,0,"1 laboratory"
"127","payor_groupother_patient_classemergency",0,0,0,0,0,"1 laboratory"
"128","payor_groupother_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"129","payor_groupother_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"130","payor_groupother_std_pan_day",0,0,0,0,0,"1 laboratory"
"131","payor_groupother_std_age",0,0,0,0,0,"1 laboratory"
"132","payor_groupother_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"133","payor_groupself pay_patient_classemergency",0,0,0,0,0,"1 laboratory"
"134","payor_groupself pay_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"135","payor_groupself pay_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"136","payor_groupself pay_std_pan_day",0,0,0,0,0,"1 laboratory"
"137","payor_groupself pay_std_age",0,0,0,0,0,"1 laboratory"
"138","payor_groupself pay_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"139","patient_classemergency_patient_classoutpatient",0,0,0,0,0,"1 laboratory"
"140","patient_classemergency_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"141","patient_classemergency_std_pan_day",0,0,0,0,0,"1 laboratory"
"142","patient_classemergency_std_age",0,0,0,0,0,"1 laboratory"
"143","patient_classemergency_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"144","patient_classoutpatient_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"145","patient_classoutpatient_std_pan_day",0,0,0,0,0,"1 laboratory"
"146","patient_classoutpatient_std_age",0,0,0,0,0,"1 laboratory"
"147","patient_classoutpatient_std_drive_thru_ind",0,0,0,0,0,"1 laboratory"
"148","drive_thru_ind_std_pan_day",-0.109727670377443,-0.322337664350713,-0.190053900089902,0.258342707161605,-0.190053900089902,"1 laboratory"
"149","drive_thru_ind_std_age",-0.106752102536725,-0.325684767235174,-0.18490006540841,0.256410256410256,-0.18490006540841,"1 laboratory"
"150","drive_thru_ind_std_drive_thru_ind",0.384900179459751,0.384900179459751,0.666666666666667,0.666666666666667,0.666666666666667,"1 laboratory"
"151","std_pan_day_std_age",0.291496882911023,0.289462587466287,0.666645034404305,0.666637824118139,0.666645034404305,"1 laboratory"
"152","std_pan_day_std_drive_thru_ind",-0.322337664350713,-0.109727670377443,-0.190053900089902,0.258342707161605,-0.190053900089902,"1 laboratory"
"153","std_age_std_drive_thru_ind",-0.325684767235174,-0.106752102536725,-0.18490006540841,0.256410256410256,-0.18490006540841,"1 laboratory"
"154","resultnegative_resultpositive",0,0,0,0,0,"3  laboratory"
"155","resultnegative_pan_day",0,0,0,0,0,"3  laboratory"
"156","resultnegative_age",0,0,0,0,0,"3  laboratory"
"157","resultnegative_gendermale",0,0,0,0,0,"3  laboratory"
"158","resultnegative_demo_groupother adult",0,0,0,0,0,"3  laboratory"
"159","resultnegative_demo_grouppatient",0,0,0,0,0,"3  laboratory"
"160","resultnegative_payor_groupcommercial",0,0,0,0,0,"3  laboratory"
"161","resultnegative_payor_groupgovernment",0,0,0,0,0,"3  laboratory"
"162","resultnegative_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"163","resultnegative_payor_groupother",0,0,0,0,0,"3  laboratory"
"164","resultnegative_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"165","resultnegative_patient_classemergency",0,0,0,0,0,"3  laboratory"
"166","resultnegative_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"167","resultnegative_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"168","resultnegative_std_pan_day",0,0,0,0,0,"3  laboratory"
"169","resultnegative_std_age",0,0,0,0,0,"3  laboratory"
"170","resultnegative_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"171","resultpositive_pan_day",0,0,0,0,0,"3  laboratory"
"172","resultpositive_age",0,0,0,0,0,"3  laboratory"
"173","resultpositive_gendermale",0,0,0,0,0,"3  laboratory"
"174","resultpositive_demo_groupother adult",0,0,0,0,0,"3  laboratory"
"175","resultpositive_demo_grouppatient",0,0,0,0,0,"3  laboratory"
"176","resultpositive_payor_groupcommercial",0,0,0,0,0,"3  laboratory"
"177","resultpositive_payor_groupgovernment",0,0,0,0,0,"3  laboratory"
"178","resultpositive_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"179","resultpositive_payor_groupother",0,0,0,0,0,"3  laboratory"
"180","resultpositive_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"181","resultpositive_patient_classemergency",0,0,0,0,0,"3  laboratory"
"182","resultpositive_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"183","resultpositive_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"184","resultpositive_std_pan_day",0,0,0,0,0,"3  laboratory"
"185","resultpositive_std_age",0,0,0,0,0,"3  laboratory"
"186","resultpositive_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"187","pan_day_age",0,0,0.25,0.25,0.25,"3  laboratory"
"188","pan_day_gendermale",0,0,-0.176776695296637,0.125,-0.0883883476483184,"3  laboratory"
"189","pan_day_demo_groupother adult",0,0,0,0,0,"3  laboratory"
"190","pan_day_demo_grouppatient",0,0,0,0,0,"3  laboratory"
"191","pan_day_payor_groupcommercial",0,0,0,0,0,"3  laboratory"
"192","pan_day_payor_groupgovernment",0,0,0,0,0,"3  laboratory"
"193","pan_day_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"194","pan_day_payor_groupother",0,0,0,0,0,"3  laboratory"
"195","pan_day_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"196","pan_day_patient_classemergency",0,0,0,0,0,"3  laboratory"
"197","pan_day_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"198","pan_day_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"199","pan_day_std_pan_day",0,0,0.25,0.25,0.25,"3  laboratory"
"200","pan_day_std_age",-2.60748811142027e-17,-8.56336621648917e-17,0.25,0.25,0.25,"3  laboratory"
"201","pan_day_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"202","age_gendermale",0,0,-0.176776695296637,0.125,-0.0883883476483184,"3  laboratory"
"203","age_demo_groupother adult",0,0,0,0,0,"3  laboratory"
"204","age_demo_grouppatient",0,0,0,0,0,"3  laboratory"
"205","age_payor_groupcommercial",0,0,0,0,0,"3  laboratory"
"206","age_payor_groupgovernment",0,0,0,0,0,"3  laboratory"
"207","age_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"208","age_payor_groupother",0,0,0,0,0,"3  laboratory"
"209","age_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"210","age_patient_classemergency",0,0,0,0,0,"3  laboratory"
"211","age_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"212","age_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"213","age_std_pan_day",0,0,0.25,0.25,0.25,"3  laboratory"
"214","age_std_age",-4.58347519585594e-17,-8.0281558279586e-17,0.25,0.25,0.25,"3  laboratory"
"215","age_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"216","gendermale_demo_groupother adult",0,0,0,0,0,"3  laboratory"
"217","gendermale_demo_grouppatient",0,0,0,0,0,"3  laboratory"
"218","gendermale_payor_groupcommercial",0,0,0,0,0,"3  laboratory"
"219","gendermale_payor_groupgovernment",0,0,0,0,0,"3  laboratory"
"220","gendermale_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"221","gendermale_payor_groupother",0,0,0,0,0,"3  laboratory"
"222","gendermale_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"223","gendermale_patient_classemergency",0,0,0,0,0,"3  laboratory"
"224","gendermale_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"225","gendermale_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"226","gendermale_std_pan_day",0,0,-0.0883883476483184,0.125,-0.176776695296637,"3  laboratory"
"227","gendermale_std_age",-2.29173759792797e-17,5.67676342637183e-17,-0.0883883476483184,0.125,-0.176776695296637,"3  laboratory"
"228","gendermale_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"229","demo_groupother adult_demo_grouppatient",0,0,0,0,0,"3  laboratory"
"230","demo_groupother adult_payor_groupcommercial",0,0,0,0,0,"3  laboratory"
"231","demo_groupother adult_payor_groupgovernment",0,0,0,0,0,"3  laboratory"
"232","demo_groupother adult_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"233","demo_groupother adult_payor_groupother",0,0,0,0,0,"3  laboratory"
"234","demo_groupother adult_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"235","demo_groupother adult_patient_classemergency",0,0,0,0,0,"3  laboratory"
"236","demo_groupother adult_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"237","demo_groupother adult_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"238","demo_groupother adult_std_pan_day",0,0,0,0,0,"3  laboratory"
"239","demo_groupother adult_std_age",0,0,0,0,0,"3  laboratory"
"240","demo_groupother adult_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"241","demo_grouppatient_payor_groupcommercial",0,0,0,0,0,"3  laboratory"
"242","demo_grouppatient_payor_groupgovernment",0,0,0,0,0,"3  laboratory"
"243","demo_grouppatient_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"244","demo_grouppatient_payor_groupother",0,0,0,0,0,"3  laboratory"
"245","demo_grouppatient_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"246","demo_grouppatient_patient_classemergency",0,0,0,0,0,"3  laboratory"
"247","demo_grouppatient_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"248","demo_grouppatient_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"249","demo_grouppatient_std_pan_day",0,0,0,0,0,"3  laboratory"
"250","demo_grouppatient_std_age",0,0,0,0,0,"3  laboratory"
"251","demo_grouppatient_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"252","payor_groupcommercial_payor_groupgovernment",0,0,0,0,0,"3  laboratory"
"253","payor_groupcommercial_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"254","payor_groupcommercial_payor_groupother",0,0,0,0,0,"3  laboratory"
"255","payor_groupcommercial_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"256","payor_groupcommercial_patient_classemergency",0,0,0,0,0,"3  laboratory"
"257","payor_groupcommercial_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"258","payor_groupcommercial_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"259","payor_groupcommercial_std_pan_day",0,0,0,0,0,"3  laboratory"
"260","payor_groupcommercial_std_age",0,0,0,0,0,"3  laboratory"
"261","payor_groupcommercial_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"262","payor_groupgovernment_payor_groupmedical assistance",0,0,0,0,0,"3  laboratory"
"263","payor_groupgovernment_payor_groupother",0,0,0,0,0,"3  laboratory"
"264","payor_groupgovernment_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"265","payor_groupgovernment_patient_classemergency",0,0,0,0,0,"3  laboratory"
"266","payor_groupgovernment_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"267","payor_groupgovernment_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"268","payor_groupgovernment_std_pan_day",0,0,0,0,0,"3  laboratory"
"269","payor_groupgovernment_std_age",0,0,0,0,0,"3  laboratory"
"270","payor_groupgovernment_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"271","payor_groupmedical assistance_payor_groupother",0,0,0,0,0,"3  laboratory"
"272","payor_groupmedical assistance_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"273","payor_groupmedical assistance_patient_classemergency",0,0,0,0,0,"3  laboratory"
"274","payor_groupmedical assistance_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"275","payor_groupmedical assistance_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"276","payor_groupmedical assistance_std_pan_day",0,0,0,0,0,"3  laboratory"
"277","payor_groupmedical assistance_std_age",0,0,0,0,0,"3  laboratory"
"278","payor_groupmedical assistance_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"279","payor_groupother_payor_groupself pay",0,0,0,0,0,"3  laboratory"
"280","payor_groupother_patient_classemergency",0,0,0,0,0,"3  laboratory"
"281","payor_groupother_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"282","payor_groupother_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"283","payor_groupother_std_pan_day",0,0,0,0,0,"3  laboratory"
"284","payor_groupother_std_age",0,0,0,0,0,"3  laboratory"
"285","payor_groupother_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"286","payor_groupself pay_patient_classemergency",0,0,0,0,0,"3  laboratory"
"287","payor_groupself pay_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"288","payor_groupself pay_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"289","payor_groupself pay_std_pan_day",0,0,0,0,0,"3  laboratory"
"290","payor_groupself pay_std_age",0,0,0,0,0,"3  laboratory"
"291","payor_groupself pay_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"292","patient_classemergency_patient_classoutpatient",0,0,0,0,0,"3  laboratory"
"293","patient_classemergency_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"294","patient_classemergency_std_pan_day",0,0,0,0,0,"3  laboratory"
"295","patient_classemergency_std_age",0,0,0,0,0,"3  laboratory"
"296","patient_classemergency_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"297","patient_classoutpatient_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"298","patient_classoutpatient_std_pan_day",0,0,0,0,0,"3  laboratory"
"299","patient_classoutpatient_std_age",0,0,0,0,0,"3  laboratory"
"300","patient_classoutpatient_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"301","drive_thru_ind_std_pan_day",0,0,0,0,0,"3  laboratory"
"302","drive_thru_ind_std_age",0,0,0,0,0,"3  laboratory"
"303","drive_thru_ind_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"304","std_pan_day_std_age",-3.74532936433104e-17,-7.25710419704623e-17,0.25,0.25,0.25,"3  laboratory"
"305","std_pan_day_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"306","std_age_std_drive_thru_ind",0,0,0,0,0,"3  laboratory"
"307","resultnegative_resultpositive",0,0,0,0,0,"anes resource ctr"
"308","resultnegative_pan_day",0,0,0,0,0,"anes resource ctr"
"309","resultnegative_age",0,0,0,0,0,"anes resource ctr"
"310","resultnegative_gendermale",0,0,0,0,0,"anes resource ctr"
"311","resultnegative_demo_groupother adult",0,0,0,0,0,"anes resource ctr"
"312","resultnegative_demo_grouppatient",0,0,0,0,0,"anes resource ctr"
"313","resultnegative_payor_groupcommercial",0,0,0,0,0,"anes resource ctr"
"314","resultnegative_payor_groupgovernment",0,0,0,0,0,"anes resource ctr"
"315","resultnegative_payor_groupmedical assistance",0,0,0,0,0,"anes resource ctr"
"316","resultnegative_payor_groupother",0,0,0,0,0,"anes resource ctr"
"317","resultnegative_payor_groupself pay",0,0,0,0,0,"anes resource ctr"
"318","resultnegative_patient_classemergency",0,0,0,0,0,"anes resource ctr"
"319","resultnegative_patient_classoutpatient",0,0,0,0,0,"anes resource ctr"
"320","resultnegative_drive_thru_ind",0,0,0,0,0,"anes resource ctr"
"321","resultnegative_std_pan_day",0,0,0,0,0,"anes resource ctr"
"322","resultnegative_std_age",0,0,0,0,0,"anes resource ctr"
"323","resultnegative_std_drive_thru_ind",0,0,0,0,0,"anes resource ctr"
"324","resultpositive_pan_day",0,0,0,0,0,"anes resource ctr"
"325","resultpositive_age",0,0,0,0,0,"anes resource ctr"
"326","resultpositive_gendermale",0,0,0,0,0,"anes resource ctr"
"327","resultpositive_demo_groupother adult",0,0,0,0,0,"anes resource ctr"
"328","resultpositive_demo_grouppatient",0,0,0,0,0,"anes resource ctr"
"329","resultpositive_payor_groupcommercial",0,0,0,0,0,"anes resource ctr"
"330","resultpositive_payor_groupgovernment",0,0,0,0,0,"anes resource ctr"
"331","resultpositive_payor_groupmedical assistance",0,0,0,0,0,"anes resource ctr"
"332","resultpositive_payor_groupother",0,0,0,0,0,"anes resource ctr"
"333","resultpositive_payor_groupself pay",0,0,0,0,0,"anes resource ctr"
"334","resultpositive_patient_classemergency",0,0,0,0,0,"anes resource ctr"
"335","resultpositive_patient_classoutpatient",0,0,0,0,0,"anes resource ctr"
