"","resultnegative","resultpositive","pan_day","age","gendermale","demo_groupother adult","demo_grouppatient","payor_groupcommercial","payor_groupgovernment","payor_groupmedical assistance","payor_groupother","payor_groupself pay","patient_classemergency","patient_classoutpatient","drive_thru_ind","std_pan_day","std_age","std_drive_thru_ind","clinic_name"
"demo_groupother.adult.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"demo_grouppatient.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"payor_groupcommercial.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"payor_groupgovernment.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"payor_groupmedical.assistance.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"payor_groupother.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"payor_groupself.pay.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"patient_classemergency.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"patient_classoutpatient.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"drive_thru_ind.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"std_pan_day.4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"cardiac echo"
"std_age.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"std_drive_thru_ind.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac echo"
"resultnegative.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"resultpositive.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"pan_day.5",0,0,1,0.655701901813869,0.139164453554448,0,0,-0.0407130050292267,0.0407130050292267,0,0,0,0,0,0,1,0.655701901813869,0,"cardiac ekg"
"age.5",0,0,0.655701901813869,1,0.0808732486346622,0,0,0.300347452000109,-0.300347452000109,0,0,0,0,0,0,0.655701901813869,1,0,"cardiac ekg"
"gendermale.5",0,0,0.139164453554448,0.0808732486346622,0.285714285714286,0,0,-0.119047619047619,0.119047619047619,0,0,0,0,0,0,0.139164453554448,0.0808732486346622,0,"cardiac ekg"
"demo_groupother.adult.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"demo_grouppatient.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"payor_groupcommercial.5",0,0,-0.0407130050292267,0.300347452000109,-0.119047619047619,0,0,0.285714285714286,-0.285714285714286,0,0,0,0,0,0,-0.0407130050292267,0.300347452000109,0,"cardiac ekg"
"payor_groupgovernment.5",0,0,0.0407130050292267,-0.300347452000109,0.119047619047619,0,0,-0.285714285714286,0.285714285714286,0,0,0,0,0,0,0.0407130050292267,-0.300347452000109,0,"cardiac ekg"
"payor_groupmedical.assistance.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"payor_groupother.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"payor_groupself.pay.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"patient_classemergency.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"patient_classoutpatient.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"drive_thru_ind.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"std_pan_day.5",0,0,1,0.655701901813869,0.139164453554448,0,0,-0.0407130050292267,0.0407130050292267,0,0,0,0,0,0,1,0.655701901813869,0,"cardiac ekg"
"std_age.5",0,0,0.655701901813869,1,0.0808732486346622,0,0,0.300347452000109,-0.300347452000109,0,0,0,0,0,0,0.655701901813869,1,0,"cardiac ekg"
"std_drive_thru_ind.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cardiac ekg"
"resultnegative.6",0.0959791349706585,-0.0959791349706585,0.0070018778016182,-0.0308761263221992,0.00326016083460117,0,0,-0.00821560530319496,0.00671593131927842,0,0,0.00149967398391654,0,0,-0.0384421763413273,0.0070018778016182,-0.0308761263221992,-0.0384421763413273,"care ntwk"
"resultpositive.6",-0.0959791349706585,0.0959791349706585,-0.0070018778016182,0.0308761263221992,-0.00326016083460117,0,0,0.00821560530319496,-0.00671593131927842,0,0,-0.00149967398391654,0,0,0.0384421763413273,-0.0070018778016182,0.0308761263221992,0.0384421763413273,"care ntwk"
"pan_day.6",0.0070018778016182,-0.0070018778016182,1,0.626921141230595,0.000608024123540886,0,0,-0.0256338170294388,0.0214392506087482,0,0,0.00419456642069061,0,0,0.0195585080912617,1,0.626921141230595,0.0195585080912617,"care ntwk"
"age.6",-0.0308761263221992,0.0308761263221992,0.626921141230595,1,-0.0111261652740498,0,0,0.0328046833470177,-0.0296233132734865,0,0,-0.00318137007353117,0,0,-0.0614428845480869,0.626921141230595,1,-0.0614428845480869,"care ntwk"
"gendermale.6",0.00326016083460117,-0.00326016083460117,0.000608024123540886,-0.0111261652740498,0.24994566398609,0,0,-0.00836774614214301,0.0102151706150837,0,0,-0.00184742447294067,0,0,-0.0506857462034624,0.000608024123540887,-0.0111261652740498,-0.0506857462034624,"care ntwk"
"demo_groupother.adult.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"care ntwk"
"demo_grouppatient.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"care ntwk"
"payor_groupcommercial.6",-0.00821560530319496,0.00821560530319496,-0.0256338170294388,0.0328046833470177,-0.00836774614214301,0,0,0.17678765485764,-0.173592697239731,0,0,-0.00319495761790915,0,0,-0.0104004518183728,-0.0256338170294388,0.0328046833470177,-0.0104004518183728,"care ntwk"
"payor_groupgovernment.6",0.00671593131927842,-0.00671593131927842,0.0214392506087482,-0.0296233132734865,0.0102151706150837,0,0,-0.173592697239731,0.18422082156053,0,0,-0.0106281243207998,0,0,0.0127701750174957,0.0214392506087482,-0.0296233132734865,0.0127701750174957,"care ntwk"
"payor_groupmedical.assistance.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"care ntwk"
"payor_groupother.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"care ntwk"
"payor_groupself.pay.6",0.00149967398391654,-0.00149967398391654,0.00419456642069061,-0.00318137007353117,-0.00184742447294067,0,0,-0.00319495761790915,-0.0106281243207998,0,0,0.013823081938709,0,0,-0.00236972319912292,0.00419456642069061,-0.00318137007353117,-0.00236972319912292,"care ntwk"
"patient_classemergency.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"care ntwk"
"patient_classoutpatient.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"care ntwk"
"drive_thru_ind.6",-0.0384421763413273,0.0384421763413273,0.0195585080912617,-0.0614428845480869,-0.0506857462034624,0,0,-0.0104004518183728,0.0127701750174957,0,0,-0.00236972319912292,0,0,1,0.0195585080912617,-0.0614428845480869,1,"care ntwk"
"std_pan_day.6",0.0070018778016182,-0.0070018778016182,1,0.626921141230595,0.000608024123540887,0,0,-0.0256338170294388,0.0214392506087482,0,0,0.00419456642069061,0,0,0.0195585080912617,1,0.626921141230595,0.0195585080912617,"care ntwk"
"std_age.6",-0.0308761263221992,0.0308761263221992,0.626921141230595,1,-0.0111261652740498,0,0,0.0328046833470177,-0.0296233132734865,0,0,-0.00318137007353117,0,0,-0.0614428845480869,0.626921141230595,1,-0.0614428845480869,"care ntwk"
"std_drive_thru_ind.6",-0.0384421763413273,0.0384421763413273,0.0195585080912617,-0.0614428845480869,-0.0506857462034624,0,0,-0.0104004518183728,0.0127701750174957,0,0,-0.00236972319912292,0,0,1,0.0195585080912617,-0.0614428845480869,1,"care ntwk"
"resultnegative.7",0.113604488078541,-0.113604488078541,0.0114768175415768,0.000664938457720096,-0.00455820476858345,0,0,0.00140252454417952,0.00666199158485273,0,0,-0.00806451612903226,0,0,-0.09129683399257,0.0114768175415768,0.000664938457720097,-0.09129683399257,"cc care ntwk"
"resultpositive.7",-0.113604488078541,0.113604488078541,-0.0114768175415768,-0.000664938457720096,0.00455820476858345,0,0,-0.00140252454417952,-0.00666199158485273,0,0,0.00806451612903226,0,0,0.09129683399257,-0.0114768175415768,-0.000664938457720097,0.09129683399257,"cc care ntwk"
"pan_day.7",0.0114768175415768,-0.0114768175415768,1,0.540798139744585,0.0405874276823294,0,0,0.0895236775370608,-0.0934708026288109,0,0,0.00394712509175015,0,0,-0.128300160849489,1,0.540798139744585,-0.128300160849489,"cc care ntwk"
"age.7",0.000664938457720096,-0.000664938457720096,0.540798139744585,1,0.00740127652554599,0,0,0.147856738440883,-0.154035551186467,0,0,0.00617881274558366,0,0,-0.0925363590684603,0.540798139744585,1,-0.0925363590684603,"cc care ntwk"
"gendermale.7",-0.00455820476858345,0.00455820476858345,0.0405874276823294,0.00740127652554599,0.250350631136045,0,0,-0.0603085553997195,0.0613604488078541,0,0,-0.00105189340813464,0,0,-0.0574831917730997,0.0405874276823294,0.00740127652554599,-0.0574831917730997,"cc care ntwk"
"demo_groupother.adult.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cc care ntwk"
"demo_grouppatient.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cc care ntwk"
"payor_groupcommercial.7",0.00140252454417952,-0.00140252454417952,0.0895236775370608,0.147856738440883,-0.0603085553997195,0,0,0.228143992519869,-0.220663861617578,0,0,-0.00748013090229079,0,0,0.0687544058462565,0.0895236775370608,0.147856738440883,0.0687544058462565,"cc care ntwk"
"payor_groupgovernment.7",0.00666199158485273,-0.00666199158485273,-0.0934708026288109,-0.154035551186467,0.0613604488078541,0,0,-0.220663861617578,0.234455352968677,0,0,-0.0137914913510986,0,0,-0.0665001630316251,-0.0934708026288109,-0.154035551186467,-0.0665001630316251,"cc care ntwk"
"payor_groupmedical.assistance.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cc care ntwk"
"payor_groupother.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cc care ntwk"
"payor_groupself.pay.7",-0.00806451612903226,0.00806451612903226,0.00394712509175015,0.00617881274558366,-0.00105189340813464,0,0,-0.00748013090229079,-0.0137914913510986,0,0,0.0212716222533894,0,0,-0.00225424281463136,0.00394712509175015,0.00617881274558366,-0.00225424281463136,"cc care ntwk"
"patient_classemergency.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cc care ntwk"
"patient_classoutpatient.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cc care ntwk"
"drive_thru_ind.7",-0.09129683399257,0.09129683399257,-0.128300160849489,-0.0925363590684603,-0.0574831917730997,0,0,0.0687544058462565,-0.0665001630316251,0,0,-0.00225424281463136,0,0,1,-0.128300160849489,-0.0925363590684603,1,"cc care ntwk"
"std_pan_day.7",0.0114768175415768,-0.0114768175415768,1,0.540798139744585,0.0405874276823294,0,0,0.0895236775370608,-0.0934708026288109,0,0,0.00394712509175015,0,0,-0.128300160849489,1,0.540798139744585,-0.128300160849489,"cc care ntwk"
"std_age.7",0.000664938457720097,-0.000664938457720097,0.540798139744585,1,0.00740127652554599,0,0,0.147856738440883,-0.154035551186467,0,0,0.00617881274558366,0,0,-0.0925363590684603,0.540798139744585,1,-0.0925363590684603,"cc care ntwk"
"std_drive_thru_ind.7",-0.09129683399257,0.09129683399257,-0.128300160849489,-0.0925363590684603,-0.0574831917730997,0,0,0.0687544058462565,-0.0665001630316251,0,0,-0.00225424281463136,0,0,1,-0.128300160849489,-0.0925363590684603,1,"cc care ntwk"
"resultnegative.8",0.0635593220338983,-0.0635593220338983,-0.0127272802132332,-0.0494752139554893,0.0051040061633282,-0.00452619414483821,0.0168528505392912,0.0213790446841294,-0.00414098613251156,0,0,-0.0172380585516179,0.00202234206471495,-0.0187788906009245,-0.00512485928183747,-0.0127272802132332,-0.0494752139554893,-0.00512485928183747,"clinical lab"
"resultpositive.8",-0.0635593220338983,0.0635593220338983,0.0127272802132332,0.0494752139554893,-0.0051040061633282,0.00452619414483821,-0.0168528505392912,-0.0213790446841294,0.00414098613251156,0,0,0.0172380585516179,-0.00202234206471495,0.0187788906009245,0.00512485928183747,0.0127272802132332,0.0494752139554893,0.00512485928183747,"clinical lab"
"pan_day.8",-0.0127272802132332,0.0127272802132332,1,0.105933989459932,-0.0351689203650206,-0.0178005679738,0.0487690242789965,0.0756475182428924,-0.0304187452244403,0,0,-0.0452287730184521,0.00643987230483852,-0.0230626877850081,-0.0418335654685432,1,0.105933989459932,-0.0418335654685432,"clinical lab"
"age.8",-0.0494752139554893,0.0494752139554893,0.105933989459932,1,-0.0138451557446905,0.0282263409238011,-0.312191719326468,-0.160714192360921,-0.142366540787846,0,0,0.303080733148767,-0.0365696239284759,0.228846713311347,-0.228184904263708,0.105933989459932,1,-0.228184904263708,"clinical lab"
"gendermale.8",0.0051040061633282,-0.0051040061633282,-0.0351689203650206,-0.0138451557446905,0.251348228043143,0.00866718027734977,-0.00712634822804314,-0.00442989214175655,-0.00548921417565485,0,0,0.0099191063174114,-0.0160824345146379,-0.00163713405238829,0.0371552297933217,-0.0351689203650206,-0.0138451557446905,0.0371552297933217,"clinical lab"
"demo_groupother.adult.8",-0.00452619414483821,0.00452619414483821,-0.0178005679738,0.0282263409238011,0.00866718027734977,0.0167565485362096,-0.0141563944530046,-0.00818567026194145,-0.00606702619414484,0,0,0.0142526964560863,-0.00192604006163328,0.00895608628659476,0.00128121482045937,-0.0178005679738,0.0282263409238011,0.00128121482045937,"clinical lab"
"demo_grouppatient.8",0.0168528505392912,-0.0168528505392912,0.0487690242789965,-0.312191719326468,-0.00712634822804314,-0.0141563944530046,0.141563944530046,0.0761748844375963,0.0606702619414484,0,0,-0.136845146379045,0.0192604006163328,-0.0895608628659476,0.062779526202509,0.0487690242789965,-0.312191719326468,0.062779526202509,"clinical lab"
"payor_groupcommercial.8",0.0213790446841294,-0.0213790446841294,0.0756475182428924,-0.160714192360921,-0.00442989214175655,-0.00818567026194145,0.0761748844375963,0.251027221366204,-0.17189907550077,0,0,-0.079128145865434,0.00792886492039034,-0.0928351309707242,0.0363010865796821,0.0756475182428924,-0.160714192360921,0.0363010865796821,"clinical lab"
"payor_groupgovernment.8",-0.00414098613251156,0.00414098613251156,-0.0304187452244403,-0.142366540787846,-0.00548921417565485,-0.00606702619414484,0.0606702619414484,-0.17189907550077,0.230546995377504,0,0,-0.0586479198767334,0.0106895223420647,0.00625963020030817,0.0269055112296467,-0.0304187452244403,-0.142366540787846,0.0269055112296467,"clinical lab"
"payor_groupmedical.assistance.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"clinical lab"
"payor_groupother.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"clinical lab"
"payor_groupself.pay.8",-0.0172380585516179,0.0172380585516179,-0.0452287730184521,0.303080733148767,0.0099191063174114,0.0142526964560863,-0.136845146379045,-0.079128145865434,-0.0586479198767334,0,0,0.137776065742167,-0.0186183872624551,0.086575500770416,-0.0632065978093288,-0.0452287730184521,0.303080733148767,-0.0632065978093288,"clinical lab"
"patient_classemergency.8",0.00202234206471495,-0.00202234206471495,0.00643987230483852,-0.0365696239284759,-0.0160824345146379,-0.00192604006163328,0.0192604006163328,0.00792886492039034,0.0106895223420647,0,0,-0.0186183872624551,0.100796096558808,-0.0539291217257319,0.00854143213639578,0.00643987230483851,-0.0365696239284759,0.00854143213639578,"clinical lab"
"patient_classoutpatient.8",-0.0187788906009245,0.0187788906009245,-0.0230626877850081,0.228846713311347,-0.00163713405238829,0.00895608628659476,-0.0895608628659476,-0.0928351309707242,0.00625963020030817,0,0,0.086575500770416,-0.0539291217257319,0.250770416024653,-0.0397176594342404,-0.0230626877850081,0.228846713311347,-0.0397176594342404,"clinical lab"
"drive_thru_ind.8",-0.00512485928183747,0.00512485928183747,-0.0418335654685432,-0.228184904263708,0.0371552297933217,0.00128121482045937,0.062779526202509,0.0363010865796821,0.0269055112296467,0,0,-0.0632065978093288,0.00854143213639578,-0.0397176594342404,1,-0.0418335654685432,-0.228184904263708,1,"clinical lab"
"std_pan_day.8",-0.0127272802132332,0.0127272802132332,1,0.105933989459932,-0.0351689203650206,-0.0178005679738,0.0487690242789965,0.0756475182428924,-0.0304187452244403,0,0,-0.0452287730184521,0.00643987230483851,-0.0230626877850081,-0.0418335654685432,1,0.105933989459932,-0.0418335654685432,"clinical lab"
"std_age.8",-0.0494752139554893,0.0494752139554893,0.105933989459932,1,-0.0138451557446905,0.0282263409238011,-0.312191719326468,-0.160714192360921,-0.142366540787846,0,0,0.303080733148767,-0.0365696239284759,0.228846713311347,-0.228184904263708,0.105933989459932,1,-0.228184904263708,"clinical lab"
